,feature,corr_no_mods,corr_log_stretch,lasso_coef
0,overall_qual,0.8034623524018427,0.8305745647569487,0.005150251991500668
1,gr_liv_area,0.7194632022924587,0.7014452115013681,0.3675143850555892
2,exter_qual,0.7150477522134456,0.7249454589592333,0.002917198122705744
3,kitchen_qual,0.6942952882539157,0.7081393939555494,0.003839500634186868
4,total_bsmt_sf,0.6651161273552675,0.6651161273552675,0.00012393246324946246
5,garage_area,0.6550971594299324,0.6550971594299324,5.579965252011759e-05
6,1st_flr_sf,0.6482516506656046,0.6162010259892191,0.005652760228331864
7,garage_cars,0.6482270260513828,0.6482270260513828,0.004450727628127318
8,bsmt_qual,0.6132363467901096,0.6951501725082174,0.004852135839919011
9,year_built,0.5724050297123932,0.5701562449698903,0.0
10,garage_finish,0.5585663777066762,0.5382946894364495,0.0010416252009717614
11,year_remod/add,0.5508715191778374,0.5508715191778374,0.0013346598778342293
12,fireplace_qu,0.5394839995254844,0.5489519047161091,0.0013707846366901818
13,full_bath,0.5382250338363078,0.5382250338363078,0.02132047641614041
14,foundation_PConc,0.5295000833327684,0.5295000833327684,0.028268885003699912
15,mas_vnr_area,0.5112729588524902,0.4560073051385097,0.0009473382082230828
16,totrms_abvgrd,0.5097754066998845,0.5019514737051544,0.0
17,fireplaces,0.4737828809435042,0.4896671252574145,0.02525029827682904
18,heating_qc,0.4586357751528848,0.4636008389388101,0.002543689110699105
19,neighborhood_NridgHt,0.44863922419376406,0.44863922419377483,0.0
20,bsmtfin_sf_1,0.44610301160731547,0.23428730938968256,0.008663704927672142
21,bsmt_exposure,0.42613432715099026,0.4275072267124709,0.0031136267203135237
22,mas_vnr_type,0.41162966921121685,0.41162966921121685,0.0
23,sale_type_New,0.36059865313544054,0.3605986531354482,0.03944737991138572
24,garage_type_Attchd,0.35810400032543094,0.35810400032543094,0.0
25,bsmtfin_type_1,0.35072768753220857,0.39254249901940225,0.0004955854993495704
26,exterior_1st_VinylSd,0.34215603211118845,0.34215603211118795,0.0
27,open_porch_sf,0.3385450775379688,0.4562643719994849,0.00044748937817284864
28,lot_frontage,0.3382803680506238,0.3201873503669351,0.010722120223239423
29,exterior_2nd_VinylSd,0.33757140542949804,0.3375714054295011,-0.0
30,wood_deck_sf,0.3276288613401406,0.3343684047847797,0.002064833645086872
31,lot_area,0.3037440460663828,0.36936674322478436,0.08307332253533313
32,garage_qual,0.2853282440301374,0.2997733226139528,2.387182431278825e-05
33,bsmt_full_bath,0.2844326446678019,0.2860920907605331,0.01991469271191664
34,half_bath,0.2833715747187073,0.2901361864784697,0.013228908327976732
35,central_air,0.27742477425188766,0.2774247742518922,0.054576333957980526
