,0
gr_liv_area,0.3675143850555892
lot_area,0.08307332253533312
paved_drive,0.0787294347754067
central_air,0.054576333957980526
exterior_1st_BrkFace,0.04307151933868983
condition_1_Norm,0.04265631995992027
sale_type_New,0.03944737991138572
neighborhood_Crawfor,0.03811880637514163
foundation_PConc,0.02826888500369991
ms_zoning_FV,0.027753064535418943
fireplaces,0.02525029827682904
full_bath,0.021320476416140415
bsmt_full_bath,0.01991469271191664
half_bath,0.013228908327976732
lot_frontage,0.010722120223239425
ms_zoning_RL,0.009332763522882117
garage_cond,0.008959335863481526
screen_porch,0.008844414874972995
bsmtfin_sf_1,0.008663704927672142
pool_qc,0.006136164313626971
1st_flr_sf,0.005652760228331864
overall_qual,0.005150251991500668
bsmt_qual,0.004852135839919011
garage_cars,0.004450727628127318
functional,0.003933796397768264
kitchen_qual,0.0038395006341868675
utilities,0.0033968907886558746
bsmt_exposure,0.003113626720313524
exter_qual,0.0029171981227057438
overall_cond,0.002728521861250183
heating_qc,0.0025436891106991044
wood_deck_sf,0.002064833645086872
3ssn_porch,0.0014177708157846933
fireplace_qu,0.0013707846366901818
year_remod/add,0.0013346598778342293
garage_finish,0.0010416252009717614
mas_vnr_area,0.0009473382082230829
electrical,0.0008868021898767664
enclosed_porch,0.0007866832295365566
neighborhood_Somerst,0.0006559308670099632
bsmtfin_type_2,0.0006471536540421333
bsmtfin_type_1,0.0004955854993495703
open_porch_sf,0.00044748937817284864
land_slope,0.0003359688972735012
bsmt_cond,0.0002718903635597505
exter_cond,0.00024008414320680004
total_bsmt_sf,0.00012393246324946244
garage_area,5.579965252011759e-05
mo_sold,4.2728927073918625e-05
garage_qual,2.3871824312788254e-05
id,1.0242954927628167e-05
neighborhood_NridgHt,0.0
lot_config_FR3,-0.0
neighborhood_Blmngtn,0.0
neighborhood_Blueste,0.0
neighborhood_BrDale,-0.0
neighborhood_BrkSide,0.0
neighborhood_ClearCr,0.0
neighborhood_CollgCr,-0.0
sale_type_VWD,0.0
neighborhood_Edwards,-0.0
neighborhood_Gilbert,-0.0
neighborhood_Greens,0.0
neighborhood_GrnHill,0.0
neighborhood_Landmrk,-0.0
neighborhood_Timber,-0.0
neighborhood_StoneBr,0.0
neighborhood_MeadowV,-0.0
neighborhood_Mitchel,0.0
neighborhood_SawyerW,-0.0
neighborhood_NAmes,-0.0
neighborhood_NPkVill,0.0
neighborhood_NWAmes,-0.0
neighborhood_NoRidge,0.0
neighborhood_Sawyer,0.0
neighborhood_SWISU,-0.0
lot_config_Inside,0.0
fence,-0.0
lot_config_FR2,-0.0
lot_config_CulDSac,0.0
year_built,0.0
mas_vnr_type,0.0
2nd_flr_sf,0.0
bsmt_half_bath,-0.0
bedroom_abvgr,-0.0
kitchen_abvgr,-0.0
totrms_abvgrd,0.0
pool_area,0.0
yr_sold,-0.0
is_train,0.0
ms_zoning_A (agr),-0.0
ms_zoning_C (all),-0.0
ms_zoning_I (all),-0.0
ms_zoning_RH,0.0
ms_zoning_RM,-0.0
street_Grvl,-0.0
street_Pave,0.0
alley_Grvl,-0.0
alley_None,0.0
alley_Pave,0.0
land_contour_Bnk,0.0
land_contour_HLS,0.0
land_contour_Low,-0.0
land_contour_Lvl,-0.0
lot_config_Corner,-0.0
condition_1_Feedr,-0.0
sale_type_WD ,-0.0
condition_1_PosA,0.0
exterior_2nd_MetalSd,0.0
foundation_Slab,0.0
foundation_CBlock,0.0
exterior_2nd_Wd Shng,0.0
exterior_2nd_Wd Sdng,0.0
exterior_2nd_VinylSd,-0.0
exterior_2nd_Stucco,0.0
exterior_2nd_Stone,0.0
exterior_2nd_PreCast,0.0
exterior_2nd_Plywood,-0.0
exterior_2nd_Other,0.0
exterior_2nd_ImStucc,-0.0
foundation_Wood,0.0
exterior_2nd_HdBoard,0.0
exterior_2nd_CmentBd,-0.0
exterior_2nd_CBlock,-0.0
exterior_2nd_BrkFace,-0.0
exterior_2nd_Brk Cmn,0.0
exterior_2nd_AsphShn,0.0
exterior_2nd_AsbShng,-0.0
exterior_1st_WdShing,0.0
condition_1_PosN,0.0
exterior_1st_Stucco,0.0
foundation_Stone,0.0
heating_Floor,0.0
exterior_1st_PreCast,0.0
misc_feature_Gar2,0.0
sale_type_Oth,0.0
sale_type_ConLw,-0.0
sale_type_ConLI,-0.0
sale_type_ConLD,0.0
sale_type_Con,0.0
sale_type_CWD,0.0
misc_feature_TenC,-0.0
misc_feature_Shed,-0.0
misc_feature_Othr,0.0
misc_feature_None,0.0
garage_type_None,0.0
