,id,pid,ms_subclass,ms_zoning,lot_frontage,lot_area,street,alley,lot_shape,land_contour,utilities,lot_config,land_slope,neighborhood,condition_1,condition_2,bldg_type,house_style,overall_qual,overall_cond,year_built,year_remod/add,roof_style,roof_matl,exterior_1st,exterior_2nd,mas_vnr_type,mas_vnr_area,exter_qual,exter_cond,foundation,bsmt_qual,bsmt_cond,bsmt_exposure,bsmtfin_type_1,bsmtfin_sf_1,bsmtfin_type_2,bsmtfin_sf_2,bsmt_unf_sf,total_bsmt_sf,heating,heating_qc,central_air,electrical,1st_flr_sf,2nd_flr_sf,low_qual_fin_sf,gr_liv_area,bsmt_full_bath,bsmt_half_bath,full_bath,half_bath,bedroom_abvgr,kitchen_abvgr,kitchen_qual,totrms_abvgrd,functional,fireplaces,fireplace_qu,garage_type,garage_finish,garage_cars,garage_area,garage_qual,garage_cond,paved_drive,wood_deck_sf,open_porch_sf,enclosed_porch,3ssn_porch,screen_porch,pool_area,pool_qc,fence,misc_feature,misc_val,mo_sold,yr_sold,sale_type,is_train,saleprice
0,109,533352170,60,RL,68.0,13517,Pave,None,9,Lvl,16,CulDSac,9,Sawyer,RRAe,Norm,1Fam,2Story,36,64,1976,2005,Gable,CompShg,HdBoard,Plywood,1,289.0,16,9,CBlock,9.0,9.0,1.0,36.0,533.0,1.0,0.0,192.0,725.0,GasA,25,1,25.0,725,754,0,1479,0.0,0.0,2,1,3,1,16,6,49,0,0.0,Attchd,4.0,2.0,475.0,9.0,9.0,1,0,44,0,0,0,0,0.0,0.0,None,0,3,2010,WD ,1,130500.0
1,544,531379050,60,RL,43.0,11492,Pave,None,9,Lvl,16,CulDSac,9,SawyerW,Norm,Norm,1Fam,2Story,49,25,1996,1997,Gable,CompShg,VinylSd,VinylSd,1,132.0,16,9,PConc,16.0,9.0,1.0,36.0,637.0,1.0,0.0,276.0,913.0,GasA,25,1,25.0,913,1209,0,2122,1.0,0.0,2,1,4,1,16,8,49,1,9.0,Attchd,4.0,2.0,559.0,9.0,9.0,1,0,74,0,0,0,0,0.0,0.0,None,0,4,2009,WD ,1,220000.0
2,153,535304180,20,RL,68.0,7922,Pave,None,16,Lvl,16,Inside,9,NAmes,Norm,Norm,1Fam,1Story,25,49,1953,2007,Gable,CompShg,VinylSd,VinylSd,0,0.0,9,16,CBlock,9.0,9.0,1.0,36.0,731.0,1.0,0.0,326.0,1057.0,GasA,9,1,25.0,1057,0,0,1057,1.0,0.0,1,0,3,1,16,5,49,0,0.0,Detchd,1.0,1.0,246.0,9.0,9.0,1,0,52,0,0,0,0,0.0,0.0,None,0,1,2010,WD ,1,109000.0
3,318,916386060,60,RL,73.0,9802,Pave,None,16,Lvl,16,Inside,9,Timber,Norm,Norm,1Fam,2Story,25,25,2006,2007,Gable,CompShg,VinylSd,VinylSd,0,0.0,9,9,PConc,16.0,9.0,1.0,1.0,0.0,1.0,0.0,384.0,384.0,GasA,16,1,25.0,744,700,0,1444,0.0,0.0,2,1,3,1,9,7,49,0,0.0,BuiltIn,9.0,2.0,400.0,9.0,9.0,1,100,0,0,0,0,0,0.0,0.0,None,0,4,2010,WD ,1,174000.0
4,255,906425045,50,RL,82.0,14235,Pave,None,9,Lvl,16,Inside,9,SawyerW,Norm,Norm,1Fam,1.5Fin,36,64,1900,1993,Gable,CompShg,Wd Sdng,Plywood,0,0.0,9,9,PConc,4.0,16.0,1.0,1.0,0.0,1.0,0.0,676.0,676.0,GasA,9,1,25.0,831,614,0,1445,0.0,0.0,2,0,3,1,9,6,49,0,0.0,Detchd,1.0,2.0,484.0,9.0,9.0,0,0,59,0,0,0,0,0.0,0.0,None,0,3,2010,WD ,1,138500.0
5,138,535126040,20,RL,137.0,16492,Pave,None,9,Lvl,16,Corner,9,NAmes,PosA,Norm,1Fam,1Story,36,36,1966,2002,Gable,CompShg,BrkFace,Plywood,0,0.0,16,9,CBlock,9.0,9.0,1.0,25.0,247.0,9.0,713.0,557.0,1517.0,GasA,25,1,25.0,1888,0,0,1888,0.0,0.0,2,1,2,1,16,6,16,1,16.0,Attchd,9.0,2.0,578.0,9.0,9.0,1,0,0,0,0,0,0,0.0,0.0,None,0,6,2010,WD ,1,190000.0
6,2827,908186070,180,RM,35.0,3675,Pave,None,16,Lvl,16,Inside,9,Edwards,Norm,Norm,TwnhsE,SFoyer,36,25,2005,2006,Gable,CompShg,VinylSd,VinylSd,1,82.0,9,9,PConc,16.0,9.0,16.0,36.0,547.0,1.0,0.0,0.0,547.0,GasA,16,1,25.0,1072,0,0,1072,1.0,0.0,2,0,2,1,9,5,49,0,0.0,Basment,9.0,2.0,525.0,9.0,9.0,1,0,44,0,0,0,0,0.0,0.0,None,0,6,2006,New,1,140000.0
7,145,535154050,20,RL,68.0,12160,Pave,None,9,Lvl,16,Inside,9,NAmes,Norm,Norm,1Fam,1Story,25,25,1959,1959,Hip,CompShg,Plywood,Plywood,1,180.0,9,9,CBlock,9.0,9.0,1.0,9.0,1000.0,1.0,0.0,188.0,1188.0,GasA,4,1,25.0,1188,0,0,1188,1.0,0.0,1,0,3,1,9,6,49,0,0.0,Attchd,4.0,2.0,531.0,9.0,9.0,1,0,0,0,0,0,0,0.0,9.0,None,0,5,2010,COD,1,142000.0
8,1942,535353130,20,RL,68.0,15783,Pave,None,16,Lvl,16,Inside,9,OldTown,Artery,Norm,1Fam,1Story,25,25,1952,1952,Gable,CompShg,Wd Sdng,Wd Sdng,0,0.0,9,9,CBlock,9.0,9.0,1.0,9.0,292.0,1.0,0.0,632.0,924.0,GasA,9,1,25.0,924,0,0,924,0.0,0.0,1,0,2,1,9,6,49,0,0.0,Detchd,1.0,1.0,420.0,9.0,9.0,1,0,324,0,0,0,0,0.0,9.0,Shed,400,6,2007,WD ,1,112500.0
9,1956,535426130,60,RL,70.0,11606,Pave,None,9,HLS,16,Inside,1,NAmes,Norm,Norm,1Fam,2Story,25,25,1969,1969,Gable,CompShg,Plywood,Plywood,1,192.0,9,9,PConc,16.0,9.0,9.0,9.0,650.0,1.0,0.0,390.0,1040.0,GasA,9,1,25.0,1040,1040,0,2080,0.0,1.0,1,2,5,1,4,9,49,2,9.0,Attchd,1.0,2.0,504.0,9.0,9.0,1,335,0,0,0,0,0,0.0,0.0,None,0,9,2007,WD ,1,135000.0
